[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	297.5558
MaxThxRotSpd	d/s	502.5024
MaxArmsRotSpd	d/s	686.4103
MaxShftRotSpd	d/s	1918.1185
ShftAngAtMaxSpd	deg	10.0820
PlvThxRotSpdGain	d/s	204.9466
ThxArmsRotSpdGain	d/s	183.9080
ArmsShftRotSpdGain	d/s	1231.7081
BckSwngMS	ms	825.0000
FwdSwngMS	ms	308.3333
FThruMS	ms	708.3333
XFctrS1	deg	0.0000
WrstSetAng1	deg	79.8437
ShftAngAtMxSpd	deg	10.0820
MaxShftRotSpd2	d/s	1918.1185
ShftRotSpdAtImp	d/s	1918.1185
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	79.8437
XFctrTop1	deg	42.0400
XFctrMax1	deg	42.0400
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.8250
FwdSwngSecs	s	0.3083
FThruSecs	s	0.7083
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1586.3787
ThxAvgAngAccel	d/s/s	2033.6253
ArmsAvgAngAccel	d/s/s	3181.1864
ShftAvgAngAccel	d/s/s	5858.9384
PlvAvgAngDecel	d/s/s	797.0400
ThxAvgAngDecel	d/s/s	892.2776
ArmsAvgAngDecel	d/s/s	1573.1127
ShftAvgAngDecel	d/s/s	6656.3067
PlvMaxRotSpd2	d/s	294.7290
ThxMaxRotSpd2	d/s	482.5730
ArmsMaxRotSpd2	d/s	686.4100
ShftMaxRotSpd2	d/s	1779.9330
ToPlvRotSpdGain2	d/s	294.7290
PlvThxRotSpdGain2	d/s	187.8440
ThxArmsRotSpdGain2	d/s	203.8370
ArmsShftRotSpdGain2	d/s	1093.5230
tBefImpPlv	ms	91.6667
tBefImpThx	ms	70.8333
tBefImpArms	ms	91.6667
tBefImpShft	ms	0.0000
tBefTopPlv	ms	-29.1667
tBefTopThx	ms	0.0000
tBefTopArms	ms	4.1667
tBefTopShft	ms	0.0000
TOrderPlv	order	3.0000
TOrderThx	order	2.0000
TOrderArms	order	1.0000
TOrderShft	order	2.0000
POrderPlv	order	1.0000
POrderThx	order	2.0000
POrderArm	order	1.0000
POrderShft	order	3.0000
CRAtPlvTransSA	deg	39.4630
CRAtThxTransSA	deg	40.3080
CRAtPTEquiSA	deg	40.4690
PTOppDir	deg	0.0000
PTFwdDir	deg	0.0000
PTMax	deg	0.0000
tPlvTrans	ms	29.1667
tThxTrans	ms	0.0000
tEquiVelT	ms	-12.5000
tEquiVelI	ms	-320.8333
tPTOpp	ms	0.0000
tPTFwd	ms	0.0000
tPTtotal	ms	0.0000
vPTOpp	d/s	0.0000
vPTFwd	d/s	0.0000
vPTMax	d/s	0.0000
CRAtPlvTransJCS	deg	41.4620
CRAtThxTransJCS	deg	42.2940
CRAtPTEquiJCS	deg	42.4400
PTOppDirJCS	deg	0.0000
PTFwdDirJCS	deg	0.0000
PTMaxJCS	deg	0.0000
vPTOppJCS	d/s	0.0000
vPTFwdJCS	d/s	0.0000
vPTMaxJCS	d/s	0.0000
LUArmAvgAngAccel	d/s/s	2739.8711
LUArmAvgAngDecel	d/s/s	1986.7086
LUArmMaxAngVel	d/s	605.8600
LUArmAngVelGain	d/s	123.2870
LUArmPeakTime	ms	87.5000
LUArmTransTime	ms	-4.1667
LUArmToClbGain	d/s	1174.0730
PlvPcntMax	%	16.5584
ThxPcntMax	%	27.1119
ArmPcntMax	%	34.0384
ArmsPcntMax	%	38.5638
ClbPcntMax	%	100.0000
fGainPT	ratio	1.6373
fGainTU	ratio	1.2555
fGainUC	ratio	2.9379
fGainTA	ratio	1.4224
fGainAC	ratio	2.5931
tPeaksPT	ms	20.8333
tPeaksTU	ms	-16.6667
tPeaksUC	ms	87.5000
tPeaksTA	ms	-20.8333
tPeaksAC	ms	91.6667
PcntLegs	%	16.5584
PcntCore	%	10.5534
PcntShld	%	6.9265
PcntWrst	%	65.9616
POrderPlvU	order	1.0000
POrderThxU	order	3.0000
POrderArmU	order	2.0000
POrderShftU	order	4.0000
TOrderPlvU	order	3.0000
TOrderThxU	order	1.0000
TOrderArmU	order	2.0000
TOrderShftU	order	1.0000
tTranToPkPlv	ms	187.5000
tTranToPkThx	ms	237.5000
tTranToPkLUArm	ms	216.6667
tTranToPkClb	ms	308.3333
tTranToImpPlv	ms	279.1667
tTranToImpThx	ms	308.3333
tTranToImpLUArm	ms	304.1667
tTranToImpArms	ms	312.5000
tTranToImpClb	ms	308.3333
tTranPlvThx	ms	-29.1667
tTranThxLUArm	ms	4.1667
tTranLUArmClb	ms	-4.1667
tTranThxArms	ms	-4.1667
tTranArmsClb	ms	4.1667
PlvTransAccel	d/s/s	670.7000
ThxTransAccel	d/s/s	1032.8600
LUArmTransAccel	d/s/s	1641.1200
ClbTransAccel	d/s/s	3543.0400
