[Version]
5.0	Advanced Motion Measurement
[Project Name]
Full Body 12R TPI 7-14-04	Full Body 12R TPI 7-14-04
[Data Name]
Computed Values
[Sample Rate]
240.00
[Items]
3
[Data]
Name	Units	Value
MaxPlvRotSpd	d/s	315.7843
MaxThxRotSpd	d/s	510.8703
MaxArmsRotSpd	d/s	686.5577
MaxShftRotSpd	d/s	1766.1583
ShftAngAtMaxSpd	deg	19.3679
PlvThxRotSpdGain	d/s	195.0861
ThxArmsRotSpdGain	d/s	175.6874
ArmsShftRotSpdGain	d/s	1079.6005
BckSwngMS	ms	812.5000
FwdSwngMS	ms	308.3333
FThruMS	ms	912.5000
XFctrS1	deg	0.0000
WrstSetAng1	deg	82.1360
ShftAngAtMxSpd	deg	19.3679
MaxShftRotSpd2	d/s	1766.1583
ShftRotSpdAtImp	d/s	1766.1583
ShftRotSpdLoss	d/s	0.0000
WrstSetAng2	deg	82.1360
XFctrTop1	deg	42.8619
XFctrMax1	deg	42.8619
XFctrStrch2	deg	0.0000
BckSwngSecs	s	0.8125
FwdSwngSecs	s	0.3083
FThruSecs	s	0.9125
KineSeqSum	order	8.0000
PlvAvgAngAccel	d/s/s	1669.7867
ThxAvgAngAccel	d/s/s	1749.6522
ArmsAvgAngAccel	d/s/s	2961.4905
ShftAvgAngAccel	d/s/s	5715.6584
PlvAvgAngDecel	d/s/s	749.5513
ThxAvgAngDecel	d/s/s	1310.7200
ArmsAvgAngDecel	d/s/s	1625.2941
ShftAvgAngDecel	d/s/s	5225.4467
PlvMaxRotSpd2	d/s	311.7010
ThxMaxRotSpd2	d/s	501.4340
ArmsMaxRotSpd2	d/s	686.5580
ShftMaxRotSpd2	d/s	1735.0680
ToPlvRotSpdGain2	d/s	311.7010
PlvThxRotSpdGain2	d/s	189.7330
ThxArmsRotSpdGain2	d/s	185.1240
ArmsShftRotSpdGain2	d/s	1048.5100
tBefImpPlv	ms	95.8333
tBefImpThx	ms	25.0000
tBefImpArms	ms	70.8333
tBefImpShft	ms	0.0000
tBefTopPlv	ms	-25.0000
tBefTopThx	ms	4.1667
tBefTopArms	ms	0.0000
tBefTopShft	ms	0.0000
TOrderPlv	order	3.0000
TOrderThx	order	1.0000
TOrderArms	order	2.0000
TOrderShft	order	2.0000
POrderPlv	order	1.0000
POrderThx	order	3.0000
POrderArm	order	2.0000
POrderShft	order	4.0000
CRAtPlvTransSA	deg	39.6460
CRAtThxTransSA	deg	40.4780
CRAtPTEquiSA	deg	40.5620
PTOppDir	deg	0.0000
PTFwdDir	deg	0.0000
PTMax	deg	0.0000
tPlvTrans	ms	25.0000
tThxTrans	ms	-4.1667
tEquiVelT	ms	-12.5000
tEquiVelI	ms	-320.8333
tPTOpp	ms	0.0000
tPTFwd	ms	0.0000
tPTtotal	ms	0.0000
vPTOpp	d/s	0.0000
vPTFwd	d/s	0.0000
vPTMax	d/s	0.0000
CRAtPlvTransJCS	deg	41.7440
CRAtThxTransJCS	deg	42.5450
CRAtPTEquiJCS	deg	42.6240
PTOppDirJCS	deg	0.0000
PTFwdDirJCS	deg	0.0000
PTMaxJCS	deg	0.0000
vPTOppJCS	d/s	0.0000
vPTFwdJCS	d/s	0.0000
vPTMaxJCS	d/s	0.0000
LUArmAvgAngAccel	d/s/s	2788.8578
LUArmAvgAngDecel	d/s/s	2070.1440
LUArmMaxAngVel	d/s	624.2200
LUArmAngVelGain	d/s	122.7860
LUArmPeakTime	ms	83.3333
LUArmTransTime	ms	4.1667
LUArmToClbGain	d/s	1110.8480
PlvPcntMax	%	17.9648
ThxPcntMax	%	28.9000
ArmPcntMax	%	35.9767
ArmsPcntMax	%	39.5695
ClbPcntMax	%	100.0000
fGainPT	ratio	1.6087
fGainTU	ratio	1.2449
fGainUC	ratio	2.7796
fGainTA	ratio	1.3692
fGainAC	ratio	2.5272
tPeaksPT	ms	70.8333
tPeaksTU	ms	-58.3333
tPeaksUC	ms	83.3333
tPeaksTA	ms	-45.8333
tPeaksAC	ms	70.8333
PcntLegs	%	17.9648
PcntCore	%	10.9352
PcntShld	%	7.0767
PcntWrst	%	64.0233
POrderPlvU	order	1.0000
POrderThxU	order	3.0000
POrderArmU	order	2.0000
POrderShftU	order	4.0000
TOrderPlvU	order	3.0000
TOrderThxU	order	1.0000
TOrderArmU	order	1.0000
TOrderShftU	order	2.0000
tTranToPkPlv	ms	187.5000
tTranToPkThx	ms	287.5000
tTranToPkLUArm	ms	229.1667
tTranToPkClb	ms	308.3333
tTranToImpPlv	ms	283.3333
tTranToImpThx	ms	312.5000
tTranToImpLUArm	ms	312.5000
tTranToImpArms	ms	308.3333
tTranToImpClb	ms	308.3333
tTranPlvThx	ms	-29.1667
tTranThxLUArm	ms	0.0000
tTranLUArmClb	ms	4.1667
tTranThxArms	ms	4.1667
tTranArmsClb	ms	0.0000
PlvTransAccel	d/s/s	569.3200
ThxTransAccel	d/s/s	1159.8200
LUArmTransAccel	d/s/s	1826.7600
ClbTransAccel	d/s/s	3836.7800
tTranToEqPlv	ms	-37.5000
tTranToEqThx	ms	-8.3333
tTranToEqLUArm	ms	-8.3333
tTranToEqClb	ms	-12.5000
ShHorAdAtThxTrans	deg	45.7840
ShHorAdAtLArmTrans	deg	45.7840
ShHorAdMin	deg	45.6440
ThxLArmContraAng	deg	0.0000
ThxLArmIpsiAng	deg	0.0000
ThxLArmTotalAng	deg	0.0000
tThxLArmContra	ms	0.0000
tThxLArmIpsi	ms	0.0000
tThxLArmTotal	ms	0.0000
vThxLArmContra	d/s	0.0000
vThxLArmIpsi	d/s	0.0000
vThxLArmTotal	d/s	0.0000
WrSetAtLArmTrans	deg	74.0420
WrSetAtClbTrans	deg	74.0170
WrSetMin	deg	74.0170
WrSetPreImp	deg	134.7240
LArmClbContraAng	deg	0.0250
LArmClbIpsiAng	deg	0.0000
LArmClbTotalAng	deg	0.0250
tLArmClbContra	ms	4.1667
tLArmClbIpsi	ms	0.0000
tLArmClbTotal	ms	4.1667
vLArmClbContra	d/s	6.0000
vLArmClbIpsi	d/s	0.0000
vLArmClbTotal	d/s	6.0000
WrSetAVMax	d/s	910.8600
PkOrdBkSwPlv	order	1.0000
PkOrdBkSwThx	order	2.0000
PkOrdBkSwLArm	order	3.0000
PkOrdBkSwClb	order	4.0000
tBkSwPkToTopPlv	ms	575.0000
tBkSwPkToTopThx	ms	470.8333
tBkSwPkToTopLArm	ms	295.8333
tBkSwPkToTopClb	ms	291.6667
tBkSwPkToImpPlv	ms	883.3333
tBkSwPkToImpThx	ms	779.1667
tBkSwPkToImpLArm	ms	604.1667
tBkSwPkToImpClb	ms	600.0000
BkSwPkPlv	d/s	84.3830
BkSwPkThx	d/s	193.2420
BkSwPkLUArm	d/s	226.5760
BkSwPkClb	d/s	576.4090
aaBkSwPlv	d/s/s	417.9158
aaBkSwThx	d/s/s	600.0263
aaBkSwLArm	d/s/s	426.7394
aaBkSwClb	d/s/s	1091.5872
adBkSwPlv	d/s/s	319.9958
adBkSwThx	d/s/s	579.9307
adBkSwLArm	d/s/s	461.0806
adBkSwClb	d/s/s	1054.3661
tBkSwPkPlvToThx	ms	104.1667
tBkSwPkThxToLArm	ms	175.0000
tBkSwPkLArmToClb	ms	4.1667
PlvRtnMax	deg	104.5910
PlvRtnMin	deg	-33.7910
PlvRtnRng	deg	138.3820
UBdyRtnMax	deg	143.9350
